,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,10,laisser,let
10,11,car,because
11,12,mettre,to put
12,13,aucun,no
13,14,laisse,leash
14,15,eux,them
15,16,ville,city
16,17,chaque,each
17,18,parlé,speak
18,19,arrivé,come
19,20,devrait,should
20,21,bébé,baby
21,22,longtemps,long time
22,23,heures,hours
23,24,vont,will
24,25,pendant,while
25,26,revoir,meet again
26,27,aucune,any
27,28,place,square
28,29,parle,speak
29,30,compris,understood
30,31,savais,knew
31,32,étaient,were
32,33,attention,Warning
33,34,voici,here is
34,35,pourrais,could
35,36,affaire,case
36,37,donner,give
37,38,type,type
38,39,leurs,their
39,40,donné,given
40,42,corps,body
41,43,endroit,place
42,44,yeux,eyes
43,45,façon,way
44,46,écoute,listen
45,47,dont,whose
46,49,premier,first
47,50,perdu,lost
48,51,main,hand
49,52,première,first
50,53,côté,side
51,54,pouvoir,power
52,55,vieux,old
53,56,sois,be
54,57,tiens,here
55,58,matin,morning
56,59,tellement,so much
57,60,enfant,child
58,61,point,point
59,62,venu,came
60,64,pardon,sorry
61,65,venez,come
62,66,devant,in front of
63,67,vers,towards
64,68,demandé,request
65,69,chambre,bedroom
66,70,mis,placed
67,71,belle,beautiful
68,72,droit,law
69,73,aimerais,would like to
70,74,aujourd'hui,today
71,75,mari,husband
72,76,cause,cause
73,77,enfin,finally
74,78,espère,hope
75,79,eau,water
76,80,attendez,Wait
77,82,boulot,job
78,83,arrêter,Stop
79,84,dirait,would say
80,85,terre,Earth
81,86,compte,account
82,87,donne,given
83,88,loin,far
84,89,fin,end
85,90,croire,believe
86,91,chérie,sweetheart
87,92,gros,large
88,93,plutôt,rather
89,94,aura,will have
90,95,filles,girls
91,96,jouer,to play
92,97,bureau,office
